# JD             Magnitude   Uncertainty   HQuncertainty   Band Observer_Code Comment_Code(s) Comp_Star_1 Comp_Star_2 Charts         Comments                                         Transfomed Airmass   Validation_Flag Cmag   Kmag   HJD   Star_Name Observer_Affiliation Measurement_Method Grouping_Method ADS_Reference   Digitizer   Credit
  2451959.285    11.6        ""            ""              Vis. MUY  K  ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451964.274    11.7        ""            ""              Vis. MUY  K  ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451965.266    11.8        ""            ""              Vis. RMQ  "" 113         126         HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451965.28     11.7        ""            ""              Vis. MUY  K  ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451968.2611   11.6        ""            ""              Vis. RMQ  "" 126         113         HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452123.5535   11.7        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452133.4604   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452133.4993   11.7        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452136.4514   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452136.4646   11.7        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452137.4667   11.7        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452138.4743   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452142.45     11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452143.4208   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452144.4729   11.7        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452147.4396   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452148.4347   11.7        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452149.4611   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452151.4222   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452151.4951   11.8        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452161.409    11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452171.466    11.7        ""            ""              Vis. RMQ  "" 118         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452172.4306   11.8        ""            ""              Vis. RMQ  "" 117         ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452175.4931   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452176.384    11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452178.3729   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2452180.3667   11.7        ""            ""              Vis. MUY  "" 11.2-12.6   ""          HENDEN         ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
