\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_34612_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:52:02 2006"               
\STOP_DATE = "Mon Nov 24, 04:52:01 2008"               
\fixlen = T
\NUMRECORDS = 1680     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 16:37:19 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454381.796219 15.80543 0.02268 
 2454381.800916 15.77537 0.02244 
 2454381.805627 15.79514 0.02241 
 2454381.810330 15.82628 0.02208 
 2454381.815033 15.81164 0.02174 
 2454381.819732 15.79975 0.02162 
 2454381.824441 15.83523 0.02059 
 2454381.829146 15.79961 0.02050 
 2454381.833847 15.78967 0.02012 
 2454381.838551 15.80682 0.01935 
 2454381.843251 15.79652 0.02021 
 2454381.847952 15.80486 0.02045 
 2454382.751319 15.81058 0.02195 
 2454382.756025 15.82968 0.02260 
 2454382.760732 15.83927 0.02220 
 2454382.765439 15.76935 0.02271 
 2454382.770993 15.78493 0.02272 
 2454382.776546 15.80293 0.02335 
 2454382.782100 15.76824 0.02278 
 2454382.784301 15.80335 0.02289 
 2454382.788993 15.76025 0.02299 
 2454382.793715 15.82515 0.02255 
 2454382.798423 15.78836 0.02245 
 2454382.803131 15.79586 0.02265 
 2454382.807831 15.83521 0.02343 
 2454382.812544 15.84077 0.02262 
 2454382.817254 15.79469 0.02234 
 2454382.821958 15.80352 0.02296 
 2454382.826661 15.83401 0.02296 
 2454382.831360 15.78887 0.02203 
 2454382.836075 15.77334 0.02274 
 2454382.840783 15.78749 0.02223 
 2454382.845490 15.78446 0.02188 
 2454384.750297 15.83515 0.02232 
 2454384.755005 15.78229 0.02261 
 2454384.759711 15.77684 0.02229 
 2454384.765260 15.78178 0.02247 
 2454384.770812 15.82331 0.02239 
 2454384.776365 15.82712 0.02281 
 2454384.778567 15.79820 0.02269 
 2454384.783271 15.78097 0.02278 
 2454384.787967 15.80414 0.02269 
 2454384.792683 15.82202 0.02237 
 2454384.797387 15.78306 0.02232 
 2454384.802095 15.83520 0.02234 
 2454384.806796 15.79978 0.02199 
 2454384.811514 15.78918 0.02167 
 2454384.816221 15.78687 0.02195 
 2454384.820929 15.77878 0.02213 
 2454384.825627 15.82737 0.02116 
 2454384.830340 15.77581 0.02211 
 2454384.835048 15.82823 0.02185 
 2454384.839752 15.81071 0.02185 
 2454385.743899 15.81679 0.02076 
 2454385.748603 15.79113 0.02029 
 2454385.753306 15.79529 0.02043 
 2454385.758009 15.80838 0.02051 
 2454385.763558 15.73717 0.02038 
 2454385.769108 15.80026 0.02020 
 2454385.774655 15.81852 0.02010 
 2454385.776852 15.79039 0.02007 
 2454385.781557 15.76871 0.02051 
 2454385.786263 15.81053 0.02063 
 2454385.790966 15.82269 0.02050 
 2454385.795669 15.78003 0.02050 
 2454385.800373 15.75342 0.02086 
 2454385.805077 15.76577 0.02040 
 2454385.809781 15.78595 0.02007 
 2454385.814483 15.83559 0.02001 
 2454385.819185 15.80060 0.02003 
 2454385.823889 15.78223 0.02071 
 2454385.828592 15.81314 0.02037 
 2454385.833294 15.79891 0.02024 
 2454385.837995 15.78715 0.02058 
 2454386.745160 15.75837 0.02131 
 2454386.749862 15.75685 0.02134 
 2454386.754565 15.75265 0.02146 
 2454386.760115 15.75193 0.02133 
 2454386.765664 15.76362 0.02199 
 2454386.771214 15.76871 0.02190 
 2454386.773414 15.78652 0.02184 
 2454386.778118 15.74625 0.02183 
 2454386.782821 15.75801 0.02186 
 2454386.787524 15.73947 0.02254 
 2454386.792229 15.74914 0.02242 
 2454386.796932 15.78780 0.02216 
 2454386.801636 15.73697 0.02193 
 2454386.806339 15.73819 0.02161 
 2454386.811044 15.76381 0.02111 
 2454386.815747 15.75332 0.02195 
 2454386.820449 15.72834 0.02157 
 2454386.825156 15.76032 0.02099 
 2454386.829860 15.76321 0.02168 
 2454386.834564 15.75732 0.02147 
 2454387.733040 15.72568 0.02218 
 2454387.737743 15.77960 0.02167 
 2454387.742444 15.71540 0.02182 
 2454387.747149 15.76075 0.02238 
 2454387.751851 15.74278 0.02488 
 2454387.757397 15.73845 0.02184 
 2454387.762948 15.71112 0.02198 
